Gender,Invoice ID,Branch,City,Customer type,Product line,Unit price,Quantity,Tax 5%,Total Price ,Sales,,Total Revenue-,,307587.38
Female,750-67-8428,A,Yangon,Member,Health and beauty,74.69,7,261.415,784.245,522.83,,,,
Female,226-31-3081,C,Naypyitaw,Normal,Electronic accessories,15.28,5,3.82,80.22,76.4,,,,
Female,355-53-5943,A,Yangon,Member,Electronic accessories,68.84,6,20.652,433.692,413.04,,,,
Female,315-22-5665,C,Naypyitaw,Normal,Home and lifestyle,73.56,10,36.78,772.38,735.6,,customer behaviour,,
Female,665-32-9167,A,Yangon,Member,Health and beauty,36.26,2,3.626,76.146,72.52,,sales performance,,
Female,692-92-5582,B,Mandalay,Member,Food and beverages,54.84,3,8.226,172.746,164.52,,,,
Female,351-62-0822,B,Mandalay,Member,Fashion accessories,14.48,4,2.896,60.816,57.92,,pivot table- sales by product line and branch,,
Female,365-64-0515,A,Yangon,Normal,Electronic accessories,46.95,5,11.7375,246.4875,234.75,,,,
Female,829-34-3910,A,Yangon,Normal,Health and beauty,71.38,10,35.69,749.49,713.8,,,,
Female,299-46-1805,B,Mandalay,Member,Sports and travel,93.72,6,28.116,590.436,562.32,,sales by gender and customer type,,
Female,656-95-9349,A,Yangon,Member,Health and beauty,68.93,7,241.255,723.765,482.51,,,,
Female,319-50-3348,B,Mandalay,Normal,Home and lifestyle,40.3,2,4.03,84.63,80.6,,most popular product line,,
Female,227-03-5010,A,Yangon,Member,Home and lifestyle,52.59,8,21.036,441.756,420.72,,,,
Female,189-17-4241,A,Yangon,Normal,Fashion accessories,87.67,2,8.767,184.107,175.34,,sales across branch and city,,
Female,145-94-9061,B,Mandalay,Normal,Food and beverages,88.36,5,22.09,463.89,441.8,,,,
Female,183-56-6882,C,Naypyitaw,Member,Food and beverages,99.42,4,19.884,417.564,397.68,,,,
Female,232-16-2483,C,Naypyitaw,Member,Sports and travel,68.12,1,3.406,71.526,68.12,,,,
Female,272-65-1806,A,Yangon,Normal,Electronic accessories,60.88,9,27.396,575.316,547.92,,,,
Female,333-73-7901,C,Naypyitaw,Normal,Health and beauty,54.92,8,21.968,461.328,439.36,,,,
Female,280-35-5823,B,Mandalay,Member,Home and lifestyle,86.72,1,4.336,91.056,86.72,,,,
Female,354-25-5821,B,Mandalay,Member,Sports and travel,69.12,6,20.736,435.456,414.72,,,,
Female,228-96-1411,C,Naypyitaw,Member,Food and beverages,98.7,8,39.48,829.08,789.6,,,,
Female,132-32-9879,B,Mandalay,Member,Electronic accessories,93.96,4,18.792,394.632,375.84,,,,
Female,727-46-3608,B,Mandalay,Member,Food and beverages,20.01,9,9.1945,189.2845,180.09,,,,
Female,574-22-5561,C,Naypyitaw,Member,Fashion accessories,82.63,10,41.315,867.615,826.3,,,,
Female,162-48-8011,A,Yangon,Member,Food and beverages,44.59,5,11.1475,234.0975,222.95,,,,
Female,616-24-2851,B,Mandalay,Member,Fashion accessories,17.87,4,3.574,75.054,71.48,,,,
Female,399-46-5918,C,Naypyitaw,Normal,Electronic accessories,85.98,8,34.392,722.232,687.84,,,,
Female,817-48-8732,A,Yangon,Member,Home and lifestyle,72.35,10,36.175,759.675,723.5,,,,
Female,285-68-5083,C,Naypyitaw,Member,Sports and travel,24.74,3,3.711,77.931,74.22,,,,
Female,347-34-2234,B,Mandalay,Member,Sports and travel,55.07,9,247.815,743.445,495.63,,,,
Female,838-78-4295,C,Naypyitaw,Normal,Health and beauty,33.47,2,3.347,70.287,66.94,,,,
Female,109-28-2512,B,Mandalay,Member,Fashion accessories,97.61,6,29.283,614.943,585.66,,,,
Female,382-03-4532,A,Yangon,Member,Health and beauty,18.33,1,9.165,27.495,18.33,,,,
Female,510-95-6347,B,Mandalay,Member,Food and beverages,48.52,3,7.278,152.838,145.56,,,,
Female,841-35-6630,C,Naypyitaw,Normal,Electronic accessories,75.91,6,22.773,478.233,455.46,,,,
